holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,hour,day_of_week,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,is_holiday,is_severe_weather,is_low_visibility,temp_scaled,clouds_scaled,congestion_category,high_risk
None,288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,2898,20,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,0,0,0,0.5452059698401919,0.2,Medium,0
None,287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,2637,21,2,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,0,0,0,0,0.4594480074113653,0.01,Medium,0
None,286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1777,22,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0,0,0,0,0.3925725321228275,0.01,Medium,0
None,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015,23,2,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0,0,0,0,0.31468227266912013,0.01,Low,0
None,284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,598,0,3,0.0,1.0,0.43388373911755823,-0.900968867902419,0,0,0,0,0.25882158154575635,0.01,Low,0
None,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,369,1,3,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0,0,0,0,0.17385038941444123,0.01,Low,0
None,283.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,312,2,3,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,0,0,0.15024728048907468,0.01,Low,0
None,282.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,367,3,3,0.7071067811865476,0.7071067811865476,0.43388373911755823,-0.900968867902419,0,0,0,0,0.06134223687019772,0.01,Low,0
None,281.69,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,835,4,3,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0,0,0,0,0.033805276457269336,0.01,Low,0
None,281.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 05:00:00,2726,5,3,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0,0,0,0,0.004694775449317999,0.01,Medium,0
None,280.74,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,5689,6,3,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0,0,0,0,-0.040937901806387685,0.01,Severe,0
None,280.57,0.0,0.0,1,Clear,sky is clear,2012-10-04 07:00:00,6990,7,3,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0,0,0,0,-0.054312996864096144,0.01,Severe,0
None,281.86,0.0,0.0,1,Clear,sky is clear,2012-10-04 08:00:00,5985,8,3,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0,0,0,0,0.04718037151497779,0.01,Severe,0
None,284.98,0.0,0.0,1,Clear,sky is clear,2012-10-04 09:00:00,5309,9,3,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,0,0,0,0,0.292652704338781,0.01,Severe,0
None,289.18,0.0,0.0,1,Clear,sky is clear,2012-10-04 10:00:00,4603,10,3,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,0,0,0.6230962292938993,0.01,High,0
None,291.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 11:00:00,4884,11,3,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,0,0,0,0,0.8095607898042884,0.01,High,0
None,294.97,0.0,0.0,1,Clear,sky is clear,2012-10-04 12:00:00,5104,12,3,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0,0,0,0,1.0786362315534581,0.01,Severe,0
None,296.38,0.0,0.0,1,Clear,sky is clear,2012-10-04 13:00:00,5178,13,3,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0,0,0,0,1.1895708435026742,0.01,Severe,0
None,297.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 14:00:00,5501,14,3,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,0,0,1.2635272514688196,0.01,Severe,0
None,298.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 15:00:00,5713,15,3,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0,0,0,0,1.3304027267573575,0.01,Severe,0
None,298.06,0.0,0.0,20,Clouds,few clouds,2012-10-04 16:00:00,6292,16,3,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,0,0,1.3217482534847225,0.2,Severe,0
None,297.67,0.0,0.0,20,Clouds,few clouds,2012-10-04 17:00:00,6057,17,3,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0,0,0,0,1.2910642118817481,0.2,Severe,0
None,296.36,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 18:00:00,4907,18,3,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,0,0,0,1.1879973029076512,0.4,High,0
None,293.85,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 19:00:00,3503,19,3,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,0,0,0.9905179582320927,0.4,High,0
None,292.43,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 20:00:00,3037,20,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0,0,0,0,0.8787965759853605,0.4,Medium,0
None,291.77,0.0,0.0,75,Clouds,broken clouds,2012-10-04 21:00:00,2822,21,3,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,0,0,0,0,0.8268697363495542,0.75,Medium,0
None,291.36,0.0,0.0,75,Clouds,broken clouds,2012-10-04 22:00:00,1992,22,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0,0,0,0,0.794612154151557,0.75,Medium,0
None,291.12,0.0,0.0,75,Clouds,broken clouds,2012-10-04 23:00:00,1166,23,3,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,0,0,0,0,0.7757296670112637,0.75,Low,0
None,290.63,0.0,0.0,75,Clouds,broken clouds,2012-10-05 00:00:00,627,0,4,0.0,1.0,-0.433883739117558,-0.9009688679024191,0,0,0,0,0.7371779224331657,0.75,Low,0
None,290.46,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 01:00:00,388,1,4,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0,0,0,0,0.7238028273754573,0.4,Low,0
None,289.26,0.0,0.0,0,Clear,sky is clear,2012-10-05 03:00:00,368,3,4,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0,0,0,0,0.6293903916739956,0.0,Low,0
None,283.21,0.0,0.0,75,Clouds,broken clouds,2012-10-05 05:00:00,2489,5,4,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0,0,0,0,0.15339436167912057,0.75,Medium,0
None,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 06:00:00,5537,6,4,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0,0,0,0,0.07707764282044059,0.9,Severe,0
None,281.69,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 07:00:00,6628,7,4,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0,0,0,0,0.033805276457269336,0.9,Severe,0
None,280.57,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 08:00:00,5534,8,4,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0,0,0,0,-0.054312996864096144,0.9,Severe,0
None,280.02,0.0,0.0,75,Clouds,broken clouds,2012-10-05 09:00:00,5403,9,4,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0,0,0,0,-0.09758536322726741,0.75,Severe,0
None,280.11,0.0,0.0,75,Clouds,broken clouds,2012-10-05 10:00:00,4770,10,4,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,0,0,0,-0.09050443054965521,0.75,High,0
None,280.0,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 11:00:00,5217,11,4,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0,0,0,0,-0.09915890382229035,0.9,Severe,0
None,280.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 12:00:00,5870,12,4,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,0,0,0,-0.05746007805414651,0.9,Severe,0
None,281.43,0.0,0.0,75,Clouds,broken clouds,2012-10-05 13:00:00,5967,13,4,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,0,0,0,0,0.013349248721953146,0.75,Severe,0
None,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 14:00:00,6108,14,4,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,0,0,0.04088620913487706,0.9,Severe,0
None,281.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 15:00:00,6128,15,4,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0,0,0,0,0.05111422300253963,0.9,Severe,0
None,281.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 16:00:00,6069,16,4,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,0,0,0,0.036952357647319696,0.9,Severe,0
None,281.42,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 17:00:00,6169,17,4,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0,0,0,0,0.012562478424441673,0.9,Severe,0
None,280.87,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 18:00:00,5384,18,4,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0,0,0,0,-0.030709887938729592,0.9,Severe,0
None,280.15,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 19:00:00,4063,19,4,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,0,0,0,0,-0.08735734935960932,0.9,High,0
None,279.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 20:00:00,3364,20,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0,0,0,-0.11646785036756065,0.9,Medium,0
None,279.65,0.0,0.0,75,Clouds,broken clouds,2012-10-05 21:00:00,2971,21,4,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0,0,0,0,-0.12669586423521875,0.75,Medium,0
None,279.22,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 22:00:00,2450,22,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0,0,0,0,-0.16052698702823892,0.4,Medium,0
None,279.06,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 23:00:00,1832,23,4,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0,0,0,0,-0.1731153117884359,0.4,Medium,0
None,278.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 00:00:00,1231,0,5,0.0,1.0,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.19278456922624063,0.9,Medium,0
None,278.55,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 01:00:00,718,1,5,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.2132405969615568,0.9,Low,0
None,278.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 02:00:00,545,2,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.21009351577151092,0.9,Low,0
None,276.99,0.0,0.0,75,Clouds,broken clouds,2012-10-06 04:00:00,411,4,5,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.3359767633734584,0.75,Low,0
None,276.35,0.0,0.0,20,Clouds,few clouds,2012-10-06 05:00:00,688,5,5,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.3863300624142374,0.2,Low,0
None,275.4,0.0,0.0,1,Clear,sky is clear,2012-10-06 06:00:00,1352,6,5,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.4610732406778989,0.01,Medium,0
None,275.17,0.0,0.0,1,Clear,sky is clear,2012-10-06 07:00:00,2072,7,5,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.4791689575206762,0.01,Medium,0
None,274.99,0.0,0.0,1,Clear,sky is clear,2012-10-06 08:00:00,3342,8,5,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.49333082287589614,0.01,Medium,0
None,275.09,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 09:00:00,4258,9,5,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.4854631199007769,0.4,High,0
None,276.88,0.0,0.0,20,Clouds,few clouds,2012-10-06 10:00:00,4861,10,5,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.3446312366460936,0.2,High,0
None,278.04,0.0,0.0,20,Clouds,few clouds,2012-10-06 11:00:00,5191,11,5,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.2533658821346777,0.2,Severe,0
None,279.08,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 12:00:00,5669,12,5,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.17154177119341296,0.4,Severe,0
None,280.12,0.0,0.0,75,Clouds,broken clouds,2012-10-06 13:00:00,5074,13,5,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.08971766025214374,0.75,Severe,0
None,280.25,0.0,0.0,75,Clouds,broken clouds,2012-10-06 14:00:00,5025,14,5,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.07948964638448565,0.75,Severe,0
None,280.0,0.0,0.0,75,Clouds,broken clouds,2012-10-06 15:00:00,5153,15,5,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.09915890382229035,0.75,Severe,0
None,279.06,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 16:00:00,5024,16,5,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.1731153117884359,0.9,Severe,0
None,278.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 17:00:00,4779,17,5,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.18491686625111695,0.9,High,0
None,278.39,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 18:00:00,4362,18,5,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.22582892172175378,0.9,High,0
None,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 19:00:00,3860,19,5,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.2439246385645311,0.9,High,0
None,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 20:00:00,3160,20,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.2439246385645311,0.9,Medium,0
None,277.93,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 21:00:00,2992,21,5,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.26202035540731283,0.9,Medium,0
None,276.9,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 22:00:00,3202,22,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.3430576960510706,0.9,Medium,0
None,276.34,0.0,0.0,75,Clouds,broken clouds,2012-10-06 23:00:00,1941,23,5,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,1,0,0,0,-0.38711683271175334,0.75,Medium,0
None,276.11,0.0,0.0,75,Clouds,broken clouds,2012-10-07 00:00:00,1233,0,6,0.0,1.0,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.4052125495545306,0.75,Medium,0
None,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 03:00:00,323,3,6,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.43510982085999345,0.9,Low,0
None,275.65,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 04:00:00,312,4,6,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.44140398324009417,0.9,Low,0
None,275.51,0.0,0.0,75,Clouds,broken clouds,2012-10-07 05:00:00,627,5,6,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.45241876740526377,0.75,Low,0
None,275.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 06:00:00,1508,6,6,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.4886102010908228,0.9,Medium,0
None,274.77,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 07:00:00,1539,7,6,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.5106397694211664,0.9,Medium,0
None,274.77,0.0,0.0,75,Clouds,broken clouds,2012-10-07 08:00:00,2232,8,6,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.5106397694211664,0.75,Medium,0
None,275.55,0.0,0.0,75,Clouds,broken clouds,2012-10-07 09:00:00,4568,9,6,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.44927168621521335,0.75,High,0
None,276.24,0.0,0.0,75,Clouds,broken clouds,2012-10-07 10:00:00,4624,10,6,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.39498453568687253,0.75,High,0
None,277.01,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 11:00:00,4529,11,6,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.3344032227784354,0.9,High,0
None,277.43,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 12:00:00,5139,12,6,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.3013588702829223,0.9,Severe,0
None,278.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 13:00:00,6640,13,6,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.2211082999366805,0.9,Severe,0
None,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 14:00:00,6589,14,6,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.15659313554068155,0.9,Severe,0
None,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 15:00:00,4429,15,6,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.15659313554068155,0.9,High,0
None,279.44,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 16:00:00,4329,16,6,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.1432180404829731,0.9,High,0
None,279.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 17:00:00,3833,17,6,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.1526592840531197,0.9,High,0
None,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 18:00:00,4015,18,6,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.15659313554068155,0.9,High,0
None,278.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 19:00:00,3382,19,6,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.24785849005209293,0.9,High,0
None,276.79,0.0,0.0,75,Clouds,broken clouds,2012-10-07 20:00:00,2815,20,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.35171216932370125,0.75,Medium,0
None,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 21:00:00,2110,21,6,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,1,0,0,0,-0.43510982085999345,0.9,Medium,0
