promo,temp_c,rain_mm,humidity,staff_count,department,dept_note,date_time,checkouts
,19.76,0.0,69.6,11,Produce,fresh fruit and veg,2022-03-05 17:00:00,101
,23.27,0.0,67.3,8,Produce,fresh fruit and veg,2022-03-05 18:00:00,80
,25.38,0.0,58.3,8,Bakery,bread and pastry,2022-03-05 19:00:00,97
,26.55,0.0,59.2,10,General,mixed baskets,2022-03-05 20:00:00,95
,25.29,3.18,69.3,11,Frozen,frozen foods,2022-03-05 21:00:00,54
,27.21,0.0,55.4,9,Bakery,bread and pastry,2022-03-05 22:00:00,52
,27.7,0.0,30.9,5,General,mixed baskets,2022-03-05 23:00:00,80
,27.76,0.0,37.6,9,Dairy,milk and yogurt aisle,2022-03-06 00:00:00,55
,25.3,0.0,59.4,8,Bakery,bread and pastry,2022-03-06 01:00:00,49
,25.5,0.0,35.1,11,Dairy,milk and yogurt aisle,2022-03-06 02:00:00,67
,24.75,0.0,65.9,5,General,mixed baskets,2022-03-06 03:00:00,61
,23.11,0.0,61.3,3,Frozen,frozen foods,2022-03-06 04:00:00,59
,28.86,2.57,65.1,4,Bakery,bread and pastry,2022-03-06 05:00:00,69
,22.19,0.0,57.8,8,Dairy,milk and yogurt aisle,2022-03-06 06:00:00,65
,25.12,0.0,60.4,9,General,mixed baskets,2022-03-06 07:00:00,64
,25.86,0.0,50.3,8,General,mixed baskets,2022-03-06 08:00:00,71
,19.95,0.0,69.2,8,General,mixed baskets,2022-03-06 09:00:00,63
,27.15,0.0,52.9,11,Dairy,milk and yogurt aisle,2022-03-06 10:00:00,107
,24.42,0.0,47.8,9,Produce,fresh fruit and veg,2022-03-06 11:00:00,110
,25.86,5.94,87.1,8,Produce,fresh fruit and veg,2022-03-06 12:00:00,108
,24.47,0.0,56.0,9,Dairy,milk and yogurt aisle,2022-03-06 13:00:00,117
,21.46,0.0,57.5,6,General,mixed baskets,2022-03-06 14:00:00,47
,25.79,1.29,68.1,5,General,mixed baskets,2022-03-06 15:00:00,38
,25.56,0.0,72.0,6,General,mixed baskets,2022-03-06 16:00:00,61
,27.79,0.0,54.6,9,Produce,fresh fruit and veg,2022-03-06 17:00:00,78
,26.49,0.0,55.7,6,Dairy,milk and yogurt aisle,2022-03-06 18:00:00,71
,21.09,0.0,44.1,5,Produce,fresh fruit and veg,2022-03-06 19:00:00,99
,28.05,0.0,55.1,5,General,mixed baskets,2022-03-06 20:00:00,86
,27.29,0.0,68.0,7,General,mixed baskets,2022-03-06 21:00:00,65
,27.22,0.0,48.9,11,Frozen,frozen foods,2022-03-06 22:00:00,53
,26.52,0.0,47.8,3,General,mixed baskets,2022-03-06 23:00:00,46
,23.6,0.0,41.7,3,Produce,fresh fruit and veg,2022-03-07 00:00:00,25
,26.7,0.0,44.9,8,Produce,fresh fruit and veg,2022-03-07 01:00:00,33
,24.45,0.0,44.6,4,General,mixed baskets,2022-03-07 02:00:00,36
,32.57,0.0,55.0,8,Produce,fresh fruit and veg,2022-03-07 03:00:00,30
,24.77,0.0,57.1,4,Dairy,milk and yogurt aisle,2022-03-07 04:00:00,36
,22.59,0.0,39.1,9,Bakery,bread and pastry,2022-03-07 05:00:00,21
,24.51,0.0,58.3,8,produce,mixed baskets,2022-03-07 06:00:00,40
,28.96,0.0,65.1,6,DAIRY,mixed baskets,2022-03-07 07:00:00,18
,23.94,0.0,61.6,5,bakery,milk and yogurt aisle,2022-03-07 08:00:00,37
,19.25,0.0,49.0,3,General,mixed baskets,2022-03-07 09:00:00,48
,29.04,0.0,61.4,9,Bakery,bread and pastry,2022-03-07 10:00:00,108
,26.18,0.0,50.9,13,Bakery,bread and pastry,2022-03-07 11:00:00,115
,24.12,0.0,46.2,12,Dairy,milk and yogurt aisle,2022-03-07 12:00:00,76
,27.15,0.0,43.9,13,Dairy,milk and yogurt aisle,2022-03-07 13:00:00,104
,23.06,0.0,43.3,10,Bakery,bread and pastry,2022-03-07 14:00:00,54
,22.43,0.0,52.3,10,Produce,fresh fruit and veg,2022-03-07 15:00:00,51
,27.75,0.0,59.6,8,Frozen,frozen foods,2022-03-07 16:00:00,28
,24.08,0.0,40.8,9,Bakery,bread and pastry,2022-03-07 17:00:00,79
,26.69,0.0,39.1,9,General,mixed baskets,2022-03-07 18:00:00,97
,25.4,0.0,64.1,5,General,mixed baskets,2022-03-07 19:00:00,57
,27.45,0.06,47.6,12,General,mixed baskets,2022-03-07 20:00:00,80
,25.64,0.0,72.3,5,Frozen,frozen foods,2022-03-07 21:00:00,53
,20.24,0.0,58.0,6,General,mixed baskets,2022-03-07 22:00:00,31
,27.07,0.0,43.7,11,Produce,fresh fruit and veg,2022-03-07 23:00:00,46
Women Day Sale,24.23,0.0,62.2,6,Produce,fresh fruit and veg,2022-03-08 00:00:00,27
Women Day Sale,27.63,0.0,62.9,5,General,mixed baskets,2022-03-08 01:00:00,30
Women Day Sale,25.7,0.56,43.2,11,Frozen,frozen foods,2022-03-08 02:00:00,30
Women Day Sale,28.98,0.0,52.9,6,Dairy,milk and yogurt aisle,2022-03-08 03:00:00,42
Women Day Sale,24.63,1.08,68.9,6,General,mixed baskets,2022-03-08 04:00:00,38
Women Day Sale,20.28,0.0,42.9,4,Dairy,milk and yogurt aisle,2022-03-08 05:00:00,51
Women Day Sale,24.62,0.0,58.3,7,General,mixed baskets,2022-03-08 06:00:00,28
Women Day Sale,26.71,0.0,57.5,8,Frozen,frozen foods,2022-03-08 07:00:00,38
Women Day Sale,24.56,0.0,70.2,8,Produce,fresh fruit and veg,2022-03-08 08:00:00,51
Women Day Sale,24.25,0.0,65.2,6,General,mixed baskets,2022-03-08 09:00:00,46
Women Day Sale,29.1,0.0,51.8,13,General,mixed baskets,2022-03-08 10:00:00,79
Women Day Sale,25.04,0.0,43.6,7,Dairy,milk and yogurt aisle,2022-03-08 11:00:00,102
Women Day Sale,28.05,0.0,52.1,12,Produce,fresh fruit and veg,2022-03-08 12:00:00,89
Women Day Sale,25.79,0.35,56.7,7,Bakery,bread and pastry,2022-03-08 13:00:00,99
Women Day Sale,21.8,0.0,54.7,11,Dairy,milk and yogurt aisle,2022-03-08 14:00:00,43
Women Day Sale,23.06,0.0,51.4,8,Frozen,frozen foods,2022-03-08 15:00:00,54
Women Day Sale,24.63,1.0,50.4,11,Produce,fresh fruit and veg,2022-03-08 16:00:00,41
Women Day Sale,26.18,0.0,64.9,11,Produce,fresh fruit and veg,2022-03-08 17:00:00,52
Women Day Sale,23.39,0.0,51.9,11,Produce,fresh fruit and veg,2022-03-08 18:00:00,58
Women Day Sale,21.88,0.0,49.0,13,Dairy,milk and yogurt aisle,2022-03-08 19:00:00,83
Women Day Sale,22.88,0.0,56.5,5,Frozen,frozen foods,2022-03-08 20:00:00,71
Women Day Sale,24.11,0.0,56.0,9,General,mixed baskets,2022-03-08 21:00:00,53
Women Day Sale,23.2,0.0,54.7,4,Produce,fresh fruit and veg,2022-03-08 22:00:00,43
Women Day Sale,23.95,0.0,64.3,5,General,mixed baskets,2022-03-08 23:00:00,31
,30.12,0.63,48.8,6,Produce,fresh fruit and veg,2022-03-09 00:00:00,52
,26.17,0.0,57.0,8,General,mixed baskets,2022-03-09 01:00:00,30
,23.42,0.0,62.9,4,Produce,fresh fruit and veg,2022-03-09 02:00:00,15
,25.44,0.0,51.3,4,Produce,fresh fruit and veg,2022-03-09 03:00:00,64
,29.41,0.0,56.1,11,Produce,fresh fruit and veg,2022-03-09 04:00:00,17
,27.08,0.0,60.1,11,Frozen,frozen foods,2022-03-09 05:00:00,47
,25.21,0.0,59.1,11,Dairy,milk and yogurt aisle,2022-03-09 06:00:00,51
,22.07,0.0,55.1,3,Dairy,milk and yogurt aisle,2022-03-09 07:00:00,41
,21.21,0.0,45.2,8,General,mixed baskets,2022-03-09 08:00:00,19
,24.61,0.0,47.9,8,Bakery,bread and pastry,2022-03-09 09:00:00,52
,25.19,0.54,56.7,9,Dairy,milk and yogurt aisle,2022-03-09 10:00:00,77
,21.4,0.0,52.6,12,Frozen,frozen foods,2022-03-09 11:00:00,78
,22.11,1.97,58.5,13,General,mixed baskets,2022-03-09 12:00:00,90
,25.35,0.0,50.8,6,Produce,fresh fruit and veg,2022-03-09 13:00:00,104
,19.91,0.0,41.3,12,General,mixed baskets,2022-03-09 14:00:00,43
,21.15,0.0,59.8,7,Bakery,bread and pastry,2022-03-09 15:00:00,49
,25.33,0.0,46.7,9,Bakery,bread and pastry,2022-03-09 16:00:00,34
,26.86,0.0,67.4,9,General,mixed baskets,2022-03-09 17:00:00,72
,26.25,0.0,76.9,13,Bakery,bread and pastry,2022-03-09 18:00:00,61
,27.95,0.0,61.2,12,Dairy,milk and yogurt aisle,2022-03-09 19:00:00,71
,29.4,0.0,58.7,9,Produce,fresh fruit and veg,2022-03-09 20:00:00,82
,27.7,0.0,50.0,11,General,mixed baskets,2022-03-09 21:00:00,36
,24.79,0.0,47.3,5,Dairy,milk and yogurt aisle,2022-03-09 22:00:00,45
,30.79,0.0,51.8,11,Frozen,frozen foods,2022-03-09 23:00:00,33
,29.72,0.0,63.0,4,Dairy,milk and yogurt aisle,2022-03-10 00:00:00,32
,27.87,0.51,56.8,4,Dairy,milk and yogurt aisle,2022-03-10 01:00:00,40
,23.49,0.0,42.2,9,Produce,fresh fruit and veg,2022-03-10 02:00:00,37
,26.52,0.0,61.3,10,Dairy,milk and yogurt aisle,2022-03-10 03:00:00,47
,20.29,0.0,51.1,10,Frozen,frozen foods,2022-03-10 04:00:00,42
,24.69,0.0,61.5,7,General,mixed baskets,2022-03-10 05:00:00,60
,19.3,0.0,55.1,8,Bakery,bread and pastry,2022-03-10 06:00:00,37
,24.48,2.53,56.4,4,General,mixed baskets,2022-03-10 07:00:00,37
,28.09,0.0,51.4,11,Dairy,milk and yogurt aisle,2022-03-10 08:00:00,27
,25.58,0.0,60.8,4,General,mixed baskets,2022-03-10 09:00:00,40
,29.57,0.0,50.5,8,Dairy,milk and yogurt aisle,2022-03-10 10:00:00,103
,25.53,0.0,65.5,13,Dairy,milk and yogurt aisle,2022-03-10 11:00:00,86
,25.79,0.0,48.8,7,Frozen,frozen foods,2022-03-10 12:00:00,94
,24.78,0.0,66.3,8,Frozen,frozen foods,2022-03-10 13:00:00,103
,26.87,0.0,44.6,12,General,mixed baskets,2022-03-10 14:00:00,38
,25.46,0.0,46.5,8,Bakery,bread and pastry,2022-03-10 15:00:00,33
,28.55,0.0,59.7,8,Produce,fresh fruit and veg,2022-03-10 16:00:00,51
,29.58,1.08,70.0,5,Frozen,frozen foods,2022-03-10 17:00:00,76
,26.48,0.0,52.7,13,Dairy,milk and yogurt aisle,2022-03-10 18:00:00,79
,22.74,0.0,61.2,7,Bakery,bread and pastry,2022-03-10 19:00:00,89
,26.95,0.0,47.7,9,Bakery,bread and pastry,2022-03-10 20:00:00,88
,28.95,2.33,54.1,7,General,mixed baskets,2022-03-10 21:00:00,35
,27.19,0.0,55.2,10,Produce,fresh fruit and veg,2022-03-10 22:00:00,33
,26.29,0.0,71.8,11,Bakery,bread and pastry,2022-03-10 23:00:00,43
,27.96,0.0,52.9,7,Dairy,milk and yogurt aisle,2022-03-11 00:00:00,38
,28.91,0.0,42.4,4,General,mixed baskets,2022-03-11 01:00:00,17
,19.08,1.54,40.2,7,General,mixed baskets,2022-03-11 02:00:00,55
,29.41,0.0,54.3,3,Frozen,frozen foods,2022-03-11 03:00:00,40
,27.55,0.0,59.7,9,Bakery,bread and pastry,2022-03-11 04:00:00,48
,26.82,0.0,52.0,6,General,mixed baskets,2022-03-11 05:00:00,25
,24.23,0.0,56.2,8,General,mixed baskets,2022-03-11 06:00:00,55
,26.18,0.0,48.7,4,General,mixed baskets,2022-03-11 07:00:00,32
,27.14,0.0,64.7,10,Produce,fresh fruit and veg,2022-03-11 08:00:00,38
,21.9,0.0,58.7,4,Produce,fresh fruit and veg,2022-03-11 09:00:00,23
,27.49,1.31,47.8,10,Frozen,frozen foods,2022-03-11 10:00:00,92
,25.8,0.0,49.9,9,Bakery,bread and pastry,2022-03-11 11:00:00,92
,29.29,0.0,64.3,13,Bakery,bread and pastry,2022-03-11 12:00:00,92
,27.31,0.0,54.5,11,General,mixed baskets,2022-03-11 13:00:00,100
,25.18,0.0,36.1,5,Produce,fresh fruit and veg,2022-03-11 14:00:00,40
,25.76,0.0,51.6,5,Produce,fresh fruit and veg,2022-03-11 15:00:00,51
,27.23,0.0,50.7,5,General,mixed baskets,2022-03-11 16:00:00,34
,25.99,0.0,33.3,8,General,mixed baskets,2022-03-11 17:00:00,63
,26.99,0.0,58.2,11,Frozen,frozen foods,2022-03-11 18:00:00,74
,23.84,0.0,65.5,9,Produce,fresh fruit and veg,2022-03-11 19:00:00,82
,22.5,0.78,52.6,11,Produce,fresh fruit and veg,2022-03-11 20:00:00,89
,24.19,0.0,47.5,10,General,mixed baskets,2022-03-11 21:00:00,49
,22.05,0.0,52.7,8,General,mixed baskets,2022-03-11 22:00:00,18
,23.68,0.0,50.7,3,Produce,fresh fruit and veg,2022-03-11 23:00:00,44
,26.56,0.0,53.8,3,Produce,fresh fruit and veg,2022-03-12 00:00:00,77
,21.59,0.0,58.5,3,Dairy,milk and yogurt aisle,2022-03-12 01:00:00,60
,22.59,0.0,41.9,4,Frozen,frozen foods,2022-03-12 02:00:00,53
,27.51,0.0,51.7,3,General,mixed baskets,2022-03-12 03:00:00,63
,24.34,0.0,69.3,5,Dairy,milk and yogurt aisle,2022-03-12 04:00:00,53
,25.64,0.0,53.3,4,General,mixed baskets,2022-03-12 05:00:00,67
,22.58,0.0,55.2,6,Frozen,frozen foods,2022-03-12 06:00:00,59
,23.06,0.0,57.0,7,Produce,fresh fruit and veg,2022-03-12 07:00:00,76
,24.91,0.0,47.8,8,Bakery,bread and pastry,2022-03-12 08:00:00,65
,29.75,0.0,43.3,8,Bakery,bread and pastry,2022-03-12 09:00:00,51
,26.78,0.0,72.3,5,Produce,fresh fruit and veg,2022-03-12 10:00:00,122
,21.48,0.0,54.5,8,Produce,fresh fruit and veg,2022-03-12 11:00:00,126
,26.79,0.0,46.3,9,General,mixed baskets,2022-03-12 12:00:00,108
,27.98,0.0,61.2,8,Produce,fresh fruit and veg,2022-03-12 13:00:00,109
,27.4,5.76,68.3,12,Dairy,milk and yogurt aisle,2022-03-12 14:00:00,32
,22.61,1.79,52.3,11,Dairy,milk and yogurt aisle,2022-03-12 15:00:00,70
,25.5,0.0,50.2,11,General,mixed baskets,2022-03-12 16:00:00,52
,30.98,0.0,43.5,12,Produce,fresh fruit and veg,2022-03-12 17:00:00,69
,23.33,0.0,46.2,5,Produce,fresh fruit and veg,2022-03-12 18:00:00,73
,26.5,0.0,61.3,7,Dairy,milk and yogurt aisle,2022-03-12 19:00:00,92
,23.79,0.0,55.1,5,Dairy,milk and yogurt aisle,2022-03-12 20:00:00,104
,22.49,0.71,54.2,9,Bakery,bread and pastry,2022-03-12 21:00:00,58
,24.59,0.0,64.5,8,Frozen,frozen foods,2022-03-12 22:00:00,65
,28.25,0.0,59.8,6,General,mixed baskets,2022-03-12 23:00:00,46
,28.61,0.0,51.0,10,Dairy,milk and yogurt aisle,2022-03-13 00:00:00,43
,23.51,0.11,42.9,7,Frozen,frozen foods,2022-03-13 01:00:00,70
,24.53,0.0,50.0,11,Bakery,bread and pastry,2022-03-13 02:00:00,65
,23.49,1.62,69.2,6,Produce,fresh fruit and veg,2022-03-13 03:00:00,59
,20.52,0.43,48.1,9,General,mixed baskets,2022-03-13 04:00:00,75
,27.23,0.0,71.3,6,Frozen,frozen foods,2022-03-13 05:00:00,48
,29.61,0.0,52.5,8,Bakery,bread and pastry,2022-03-13 06:00:00,54
,29.47,0.0,43.5,11,Bakery,bread and pastry,2022-03-13 07:00:00,72
,24.55,0.0,50.6,10,Bakery,bread and pastry,2022-03-13 08:00:00,82
,29.04,0.0,65.6,6,Frozen,frozen foods,2022-03-13 09:00:00,60
,28.45,0.0,49.3,8,Dairy,milk and yogurt aisle,2022-03-13 10:00:00,135
,24.88,0.35,58.8,13,Frozen,frozen foods,2022-03-13 11:00:00,107
,25.71,0.0,60.1,6,General,mixed baskets,bad-date,118
,24.81,0.0,49.8,13,Dairy,milk and yogurt aisle,2022-03-13 13:00:00,112
,26.33,1.83,68.1,8,Dairy,milk and yogurt aisle,2022-03-13 14:00:00,40
,30.27,4.84,80.0,9,Frozen,frozen foods,2022-03-13 15:00:00,63
,23.42,0.0,60.5,5,General,mixed baskets,2022-03-13 16:00:00,71
,22.75,0.0,40.3,12,Dairy,milk and yogurt aisle,2022-03-13 17:00:00,93
,27.92,0.0,56.7,10,General,mixed baskets,2022-03-13 18:00:00,94
,25.89,0.0,60.1,10,Frozen,frozen foods,2022-03-13 19:00:00,111
,21.01,0.0,61.4,10,Dairy,milk and yogurt aisle,2022-03-13 20:00:00,80
,23.21,0.0,68.8,7,Dairy,milk and yogurt aisle,2022-03-13 21:00:00,42
,23.67,0.0,56.7,4,Bakery,bread and pastry,2022-03-13 22:00:00,52
,24.22,0.0,54.7,6,Bakery,bread and pastry,2022-03-13 23:00:00,45
,26.59,0.6,39.9,3,Frozen,frozen foods,2022-03-14 00:00:00,56
,28.28,0.0,45.1,10,Produce,fresh fruit and veg,2022-03-14 01:00:00,43
,25.39,0.0,63.3,9,General,mixed baskets,2022-03-14 02:00:00,29
,26.16,0.0,45.2,8,General,mixed baskets,2022-03-14 03:00:00,32
,23.93,0.0,52.5,8,Frozen,frozen foods,2022-03-14 04:00:00,74
,28.35,0.0,41.0,8,Dairy,milk and yogurt aisle,2022-03-14 05:00:00,32
,29.15,0.0,52.0,9,General,mixed baskets,2022-03-14 06:00:00,30
,25.14,0.0,44.6,5,General,mixed baskets,2022-03-14 07:00:00,43
,23.95,0.0,58.0,5,Frozen,frozen foods,2022-03-14 08:00:00,-25
,30.98,1.0,56.7,3,Bakery,bread and pastry,2022-03-14 09:00:00,42
,28.12,0.0,57.1,8,Dairy,milk and yogurt aisle,2022-03-14 10:00:00,84
,23.57,0.0,42.1,13,Produce,fresh fruit and veg,2022-03-14 11:00:00,81
,21.57,0.0,52.7,11,Dairy,milk and yogurt aisle,2022-03-14 12:00:00,102
