promo,temp_c,rain_mm,humidity,staff_count,department,dept_note,date_time,checkouts,hour,day_of_week,is_weekend,hour_sin,hour_cos,is_promo,department_code,is_fresh_area,is_wet_weather,temp_c_scaled,checkouts_scaled,demand_category
,25.79,0.0,54.9,7,Bakery,bread and pastry,2022-03-01 12:00:00,101,12,1,0,1.2246467991473532e-16,-1.0,0,0,1,0,0.5378106821787413,0.6906474820143885,Peak
,20.61,0.0,45.9,8,Frozen,frozen foods,2022-03-01 13:00:00,91,13,1,0,-0.2588190451025208,-0.9659258262890683,0,2,0,0,0.2638815441565309,0.6187050359712231,Peak
,23.85,4.42,60.9,11,Frozen,frozen foods,2022-03-01 14:00:00,37,14,1,0,-0.4999999999999997,-0.8660254037844388,0,2,0,1,0.43521946060285566,0.2302158273381295,Low
,22.27,0.0,56.1,8,Bakery,bread and pastry,2022-03-01 15:00:00,22,15,1,0,-0.7071067811865471,-0.7071067811865479,0,0,1,0,0.3516657852987837,0.1223021582733813,Low
,26.46,0.0,61.0,7,Frozen,frozen foods,2022-03-01 16:00:00,46,16,1,0,-0.8660254037844385,-0.5000000000000004,0,2,0,0,0.5732416710735061,0.2949640287769784,Medium
,29.58,0.0,48.2,8,General,mixed baskets,2022-03-01 17:00:00,76,17,1,0,-0.9659258262890683,-0.25881904510252063,0,3,0,0,0.7382337387625593,0.5107913669064749,High
,24.17,0.0,39.2,8,Dairy,milk and yogurt aisle,2022-03-01 18:00:00,78,18,1,0,-1.0,-1.8369701987210297e-16,0,1,1,0,0.4521417239555791,0.5251798561151079,High
,25.52,0.0,59.4,9,Bakery,bread and pastry,2022-03-01 19:00:00,56,19,1,0,-0.9659258262890684,0.2588190451025203,0,0,1,0,0.5235325224748809,0.3669064748201439,High
,20.8,0.0,53.3,13,General,mixed baskets,2022-03-01 20:00:00,94,20,1,0,-0.8660254037844386,0.5000000000000001,0,3,0,0,0.27392913802221047,0.6402877697841727,Peak
,25.19,0.0,51.1,9,Dairy,milk and yogurt aisle,2022-03-01 21:00:00,41,21,1,0,-0.7071067811865477,0.7071067811865474,0,1,1,0,0.506081438392385,0.2589928057553957,Medium
,22.99,0.0,48.1,7,Dairy,milk and yogurt aisle,2022-03-01 22:00:00,35,22,1,0,-0.5000000000000004,0.8660254037844384,0,1,1,0,0.3897408778424113,0.2158273381294964,Low
,22.0,0.0,63.6,7,Produce,fresh fruit and veg,2022-03-01 23:00:00,64,23,1,0,-0.25881904510252157,0.9659258262890681,0,4,1,0,0.3373876255949233,0.4244604316546763,High
,20.16,0.0,53.7,6,General,mixed baskets,2022-03-02 00:00:00,39,0,2,0,0.0,1.0,0,3,0,0,0.24008461131676362,0.2446043165467626,Low
,28.82,0.0,44.8,9,Produce,fresh fruit and veg,2022-03-02 01:00:00,22,1,2,0,0.25881904510252074,0.9659258262890683,0,4,1,0,0.6980433632998413,0.1223021582733813,Low
,20.78,0.0,47.2,5,Produce,fresh fruit and veg,2022-03-02 02:00:00,35,2,2,0,0.49999999999999994,0.8660254037844387,0,4,1,0,0.2728714965626653,0.2158273381294964,Low
,21.8,0.0,51.4,3,Produce,fresh fruit and veg,2022-03-02 03:00:00,12,3,2,0,0.7071067811865476,0.7071067811865476,0,4,1,0,0.3268112109994712,0.050359712230215826,Low
,24.84,0.0,43.7,8,Produce,fresh fruit and veg,2022-03-02 04:00:00,52,4,2,0,0.8660254037844386,0.5000000000000001,0,4,1,0,0.48757271285034365,0.3381294964028777,Medium
,25.54,0.0,50.9,9,Dairy,milk and yogurt aisle,2022-03-02 05:00:00,35,5,2,0,0.9659258262890683,0.25881904510252074,0,1,1,0,0.5245901639344261,0.2158273381294964,Low
,25.55,0.0,63.8,7,General,mixed baskets,2022-03-02 06:00:00,31,6,2,0,1.0,6.123233995736766e-17,0,3,0,0,0.5251189846641988,0.18705035971223022,Low
,25.1,0.21,62.1,6,Dairy,milk and yogurt aisle,2022-03-02 07:00:00,52,7,2,0,0.9659258262890683,-0.25881904510252063,0,1,1,1,0.5013220518244316,0.3381294964028777,Medium
,22.59,0.0,62.7,10,General,mixed baskets,2022-03-02 08:00:00,20,8,2,0,0.8660254037844387,-0.4999999999999998,0,3,0,0,0.3685880486515071,0.1079136690647482,Low
,26.75,0.0,62.5,3,General,mixed baskets,2022-03-02 09:00:00,46,9,2,0,0.7071067811865476,-0.7071067811865475,0,3,0,0,0.5885774722369116,0.2949640287769784,Medium
,25.31,0.0,56.1,10,General,mixed baskets,2022-03-02 10:00:00,70,10,2,0,0.49999999999999994,-0.8660254037844387,0,3,0,0,0.5124272871496561,0.4676258992805755,High
,21.2,4.89,72.5,7,General,mixed baskets,2022-03-02 11:00:00,87,11,2,0,0.258819045102521,-0.9659258262890682,0,3,0,1,0.2950819672131147,0.5899280575539568,Peak
,28.84,10.02,71.6,7,General,mixed baskets,2022-03-02 12:00:00,80,12,2,0,1.2246467991473532e-16,-1.0,0,3,0,1,0.6991010047593864,0.539568345323741,Peak
,23.98,0.0,60.8,13,General,mixed baskets,2022-03-02 13:00:00,112,13,2,0,-0.2588190451025208,-0.9659258262890683,0,3,0,0,0.4420941300898995,0.7697841726618705,Peak
,27.21,0.0,59.8,12,Produce,fresh fruit and veg,2022-03-02 14:00:00,61,14,2,0,-0.4999999999999997,-0.8660254037844388,0,4,1,0,0.6129032258064516,0.4028776978417266,High
,21.2,0.0,56.8,7,Dairy,milk and yogurt aisle,2022-03-02 15:00:00,36,15,2,0,-0.7071067811865471,-0.7071067811865479,0,1,1,0,0.2950819672131147,0.22302158273381295,Low
,25.79,0.0,56.7,13,General,mixed baskets,2022-03-02 16:00:00,50,16,2,0,-0.8660254037844385,-0.5000000000000004,0,3,0,0,0.5378106821787413,0.3237410071942446,Medium
,23.41,0.0,46.6,6,Dairy,milk and yogurt aisle,2022-03-02 17:00:00,72,17,2,0,-0.9659258262890683,-0.25881904510252063,0,1,1,0,0.4119513484928609,0.48201438848920863,High
,23.11,0.0,51.3,7,General,mixed baskets,2022-03-02 18:00:00,81,18,2,0,-1.0,-1.8369701987210297e-16,0,3,0,0,0.39608672659968264,0.5467625899280576,Peak
,27.37,0.0,42.8,10,General,mixed baskets,2022-03-02 19:00:00,65,19,2,0,-0.9659258262890684,0.2588190451025203,0,3,0,0,0.6213643574828133,0.4316546762589928,High
,20.78,8.89,77.9,8,Produce,fresh fruit and veg,2022-03-02 20:00:00,54,20,2,0,-0.8660254037844386,0.5000000000000001,0,4,1,1,0.2728714965626653,0.35251798561151076,Medium
,25.26,4.76,67.3,4,General,mixed baskets,2022-03-02 21:00:00,18,21,2,0,-0.7071067811865477,0.7071067811865474,0,3,0,1,0.5097831835007932,0.09352517985611511,Low
,22.31,0.0,49.9,11,Produce,fresh fruit and veg,2022-03-02 22:00:00,44,22,2,0,-0.5000000000000004,0.8660254037844384,0,4,1,0,0.35378106821787403,0.2805755395683453,Medium
,26.14,0.21,64.6,6,Dairy,milk and yogurt aisle,2022-03-02 23:00:00,66,23,2,0,-0.25881904510252157,0.9659258262890681,0,1,1,1,0.5563194077207826,0.43884892086330934,High
,25.43,0.0,48.5,3,Dairy,milk and yogurt aisle,2022-03-03 00:00:00,43,0,3,0,0.0,1.0,0,1,1,0,0.5187731359069275,0.2733812949640288,Medium
,23.54,0.0,57.5,9,General,mixed baskets,2022-03-03 01:00:00,33,1,3,0,0.25881904510252074,0.9659258262890683,0,3,0,0,0.4188260179799047,0.2014388489208633,Low
,30.47,0.0,56.5,7,Produce,fresh fruit and veg,2022-03-03 02:00:00,62,2,3,0,0.49999999999999994,0.8660254037844387,0,4,1,0,0.7852987837123213,0.41007194244604317,High
,24.8,0.0,53.6,3,Frozen,frozen foods,2022-03-03 03:00:00,42,3,3,0,0.7071067811865476,0.7071067811865476,0,2,0,0,0.4854574299312533,0.26618705035971224,Medium
,27.66,0.0,59.3,6,General,mixed baskets,2022-03-03 04:00:00,41,4,3,0,0.8660254037844386,0.5000000000000001,0,3,0,0,0.6367001586462189,0.2589928057553957,Medium
,21.6,0.0,58.0,4,Dairy,milk and yogurt aisle,2022-03-03 05:00:00,43,5,3,0,0.9659258262890683,0.25881904510252074,0,1,1,0,0.3162347964040191,0.2733812949640288,Medium
,24.61,0.0,52.0,10,General,mixed baskets,2022-03-03 06:00:00,38,6,3,0,1.0,6.123233995736766e-17,0,3,0,0,0.4754098360655737,0.23741007194244604,Low
,25.14,0.0,65.1,10,General,mixed baskets,2022-03-03 07:00:00,36,7,3,0,0.9659258262890683,-0.25881904510252063,0,3,0,0,0.5034373347435219,0.22302158273381295,Low
,25.27,0.0,53.9,4,Dairy,milk and yogurt aisle,2022-03-03 08:00:00,22,8,3,0,0.8660254037844387,-0.4999999999999998,0,1,1,0,0.5103120042305658,0.1223021582733813,Low
,24.06,0.0,59.8,4,Dairy,milk and yogurt aisle,2022-03-03 09:00:00,46,9,3,0,0.7071067811865476,-0.7071067811865475,0,1,1,0,0.4463246959280803,0.2949640287769784,Medium
,22.85,0.0,47.0,13,Produce,fresh fruit and veg,2022-03-03 10:00:00,93,10,3,0,0.49999999999999994,-0.8660254037844387,0,4,1,0,0.38233738762559494,0.6330935251798561,Peak
,17.19,0.0,47.9,12,Dairy,milk and yogurt aisle,2022-03-03 11:00:00,109,11,3,0,0.258819045102521,-0.9659258262890682,0,1,1,0,0.08302485457429941,0.7482014388489209,Peak
,23.51,0.0,56.3,10,Bakery,bread and pastry,2022-03-03 12:00:00,90,12,3,0,1.2246467991473532e-16,-1.0,0,0,1,0,0.417239555790587,0.6115107913669064,Peak
,22.63,0.0,72.9,12,General,mixed baskets,2022-03-03 13:00:00,72,13,3,0,-0.2588190451025208,-0.9659258262890683,0,3,0,0,0.3707033315705975,0.48201438848920863,High
,24.29,0.0,45.2,12,General,mixed baskets,2022-03-03 14:00:00,38,14,3,0,-0.4999999999999997,-0.8660254037844388,0,3,0,0,0.45848757271285023,0.23741007194244604,Low
,27.08,0.0,45.8,12,Produce,fresh fruit and veg,2022-03-03 15:00:00,60,15,3,0,-0.7071067811865471,-0.7071067811865479,0,4,1,0,0.6060285563194076,0.39568345323741005,High
,30.48,0.0,49.1,12,General,mixed baskets,2022-03-03 16:00:00,35,16,3,0,-0.8660254037844385,-0.5000000000000004,0,3,0,0,0.785827604442094,0.2158273381294964,Low
,26.26,0.0,51.6,9,Frozen,frozen foods,2022-03-03 17:00:00,64,17,3,0,-0.9659258262890683,-0.25881904510252063,0,2,0,0,0.562665256478054,0.4244604316546763,High
,27.48,0.0,55.5,9,Frozen,frozen foods,2022-03-03 18:00:00,60,18,3,0,-1.0,-1.8369701987210297e-16,0,2,0,0,0.627181385510312,0.39568345323741005,High
,26.51,0.0,63.0,6,General,mixed baskets,2022-03-03 19:00:00,62,19,3,0,-0.9659258262890684,0.2588190451025203,0,3,0,0,0.5758857747223691,0.41007194244604317,High
,26.76,0.0,53.7,12,Bakery,bread and pastry,2022-03-03 20:00:00,71,20,3,0,-0.8660254037844386,0.5000000000000001,0,0,1,0,0.5891062929666843,0.4748201438848921,High
,26.42,3.11,68.9,10,Produce,fresh fruit and veg,2022-03-03 21:00:00,25,21,3,0,-0.7071067811865477,0.7071067811865474,0,4,1,1,0.5711263881544156,0.14388489208633093,Low
,24.29,0.0,55.2,5,Dairy,milk and yogurt aisle,2022-03-03 22:00:00,57,22,3,0,-0.5000000000000004,0.8660254037844384,0,1,1,0,0.45848757271285023,0.37410071942446044,High
,24.14,0.0,50.6,6,General,mixed baskets,2022-03-03 23:00:00,36,23,3,0,-0.25881904510252157,0.9659258262890681,0,3,0,0,0.4505552617662612,0.22302158273381295,Low
,25.84,0.0,51.3,6,Frozen,frozen foods,2022-03-04 00:00:00,41,0,4,0,0.0,1.0,0,2,0,0,0.5404547858276044,0.2589928057553957,Medium
,29.52,0.0,58.8,10,Dairy,milk and yogurt aisle,2022-03-04 01:00:00,57,1,4,0,0.25881904510252074,0.9659258262890683,0,1,1,0,0.7350608143839237,0.37410071942446044,High
,26.98,0.0,56.5,7,Dairy,milk and yogurt aisle,2022-03-04 02:00:00,58,2,4,0,0.49999999999999994,0.8660254037844387,0,1,1,0,0.6007403490216816,0.381294964028777,High
,29.05,0.0,65.3,4,Produce,fresh fruit and veg,2022-03-04 03:00:00,37,3,4,0,0.7071067811865476,0.7071067811865476,0,4,1,0,0.7102062400846113,0.2302158273381295,Low
,21.79,2.18,63.1,3,General,mixed baskets,2022-03-04 04:00:00,43,4,4,0,0.8660254037844386,0.5000000000000001,0,3,0,1,0.3262823902696985,0.2733812949640288,Medium
,25.7,0.0,54.2,6,General,mixed baskets,2022-03-04 05:00:00,48,5,4,0,0.9659258262890683,0.25881904510252074,0,3,0,0,0.5330512956107878,0.30935251798561153,Medium
,26.03,0.0,46.3,9,Dairy,milk and yogurt aisle,2022-03-04 06:00:00,37,6,4,0,1.0,6.123233995736766e-17,0,1,1,0,0.550502379693284,0.2302158273381295,Low
,26.34,0.0,49.2,10,Produce,fresh fruit and veg,2022-03-04 07:00:00,18,7,4,0,0.9659258262890683,-0.25881904510252063,0,4,1,0,0.5668958223162347,0.09352517985611511,Low
,21.6,0.97,60.9,10,General,mixed baskets,2022-03-04 08:00:00,47,8,4,0,0.8660254037844387,-0.4999999999999998,0,3,0,1,0.3162347964040191,0.302158273381295,Medium
,20.43,0.0,57.5,7,Dairy,milk and yogurt aisle,2022-03-04 09:00:00,50,9,4,0,0.7071067811865476,-0.7071067811865475,0,1,1,0,0.254362771020624,0.3237410071942446,Medium
,19.73,0.0,67.9,11,Frozen,frozen foods,2022-03-04 10:00:00,99,10,4,0,0.49999999999999994,-0.8660254037844387,0,2,0,0,0.21734531993654152,0.6762589928057554,Peak
,24.04,0.0,50.3,12,Produce,fresh fruit and veg,2022-03-04 11:00:00,83,11,4,0,0.258819045102521,-0.9659258262890682,0,4,1,0,0.4452670544685351,0.5611510791366906,Peak
,30.91,0.0,60.1,10,Dairy,milk and yogurt aisle,2022-03-04 12:00:00,92,12,4,0,1.2246467991473532e-16,-1.0,0,1,1,0,0.8085668958223161,0.6258992805755396,Peak
,25.59,0.0,54.6,9,Produce,fresh fruit and veg,2022-03-04 13:00:00,87,13,4,0,-0.2588190451025208,-0.9659258262890683,0,4,1,0,0.5272342675832892,0.5899280575539568,Peak
,22.02,0.0,39.2,5,Produce,fresh fruit and veg,2022-03-04 14:00:00,36,14,4,0,-0.4999999999999997,-0.8660254037844388,0,4,1,0,0.3384452670544685,0.22302158273381295,Low
,25.9,0.0,46.2,5,General,mixed baskets,2022-03-04 15:00:00,55,15,4,0,-0.7071067811865471,-0.7071067811865479,0,3,0,0,0.5436277102062399,0.3597122302158273,Medium
,24.3,3.98,69.1,9,Produce,fresh fruit and veg,2022-03-04 16:00:00,58,16,4,0,-0.8660254037844385,-0.5000000000000004,0,4,1,1,0.45901639344262296,0.381294964028777,High
,25.48,0.0,52.4,7,Produce,fresh fruit and veg,2022-03-04 17:00:00,83,17,4,0,-0.9659258262890683,-0.25881904510252063,0,4,1,0,0.5214172395557906,0.5611510791366906,Peak
,23.92,0.0,50.0,8,General,mixed baskets,2022-03-04 18:00:00,81,18,4,0,-1.0,-1.8369701987210297e-16,0,3,0,0,0.4389212057112639,0.5467625899280576,Peak
,21.82,0.0,63.7,7,Produce,fresh fruit and veg,2022-03-04 19:00:00,83,19,4,0,-0.9659258262890684,0.2588190451025203,0,4,1,0,0.32786885245901637,0.5611510791366906,Peak
,23.73,0.0,53.5,11,Dairy,milk and yogurt aisle,2022-03-04 20:00:00,74,20,4,0,-0.8660254037844386,0.5000000000000001,0,1,1,0,0.4288736118455843,0.49640287769784175,High
,26.84,0.0,57.4,6,Dairy,milk and yogurt aisle,2022-03-04 21:00:00,39,21,4,0,-0.7071067811865477,0.7071067811865474,0,1,1,0,0.5933368588048651,0.2446043165467626,Low
,25.82,0.0,61.1,3,General,mixed baskets,2022-03-04 22:00:00,31,22,4,0,-0.5000000000000004,0.8660254037844384,0,3,0,0,0.5393971443680592,0.18705035971223022,Low
,28.12,0.0,51.7,9,General,mixed baskets,2022-03-04 23:00:00,39,23,4,0,-0.25881904510252157,0.9659258262890681,0,3,0,0,0.6610259122157588,0.2446043165467626,Low
,22.45,0.0,60.2,8,General,mixed baskets,2022-03-05 00:00:00,87,0,5,1,0.0,1.0,0,3,0,0,0.36118455843469055,0.5899280575539568,Peak
,27.76,0.0,47.5,9,General,mixed baskets,2022-03-05 01:00:00,70,1,5,1,0.25881904510252074,0.9659258262890683,0,3,0,0,0.641988365943945,0.4676258992805755,High
,25.29,0.0,45.3,7,General,mixed baskets,2022-03-05 02:00:00,55,2,5,1,0.49999999999999994,0.8660254037844387,0,3,0,0,0.5113696456901109,0.3597122302158273,Medium
,25.63,0.0,63.8,5,General,mixed baskets,2022-03-05 03:00:00,54,3,5,1,0.7071067811865476,0.7071067811865476,0,3,0,0,0.5293495505023795,0.35251798561151076,Medium
,28.27,0.0,65.3,6,Dairy,milk and yogurt aisle,2022-03-05 04:00:00,49,4,5,1,0.8660254037844386,0.5000000000000001,0,1,1,0,0.6689582231623479,0.31654676258992803,Medium
,24.83,0.0,60.8,9,Produce,fresh fruit and veg,2022-03-05 05:00:00,64,5,5,1,0.9659258262890683,0.25881904510252074,0,4,1,0,0.487043892120571,0.4244604316546763,High
,25.8,0.0,49.4,4,Dairy,milk and yogurt aisle,2022-03-05 06:00:00,64,6,5,1,1.0,6.123233995736766e-17,0,1,1,0,0.538339502908514,0.4244604316546763,High
,26.77,0.0,52.6,10,Produce,fresh fruit and veg,2022-03-05 07:00:00,42,7,5,1,0.9659258262890683,-0.25881904510252063,0,4,1,0,0.5896351136964568,0.26618705035971224,Medium
,26.79,0.0,48.0,9,Dairy,milk and yogurt aisle,2022-03-05 08:00:00,65,8,5,1,0.8660254037844387,-0.4999999999999998,0,1,1,0,0.590692755156002,0.4316546762589928,High
,27.21,0.0,48.0,9,Bakery,bread and pastry,2022-03-05 09:00:00,53,9,5,1,0.7071067811865476,-0.7071067811865475,0,0,1,0,0.6129032258064516,0.34532374100719426,Medium
,28.41,0.0,56.2,11,Dairy,milk and yogurt aisle,2022-03-05 10:00:00,132,10,5,1,0.49999999999999994,-0.8660254037844387,0,1,1,0,0.6763617133791644,0.9136690647482014,Peak
,26.51,0.0,51.5,5,Frozen,frozen foods,2022-03-05 11:00:00,116,11,5,1,0.258819045102521,-0.9659258262890682,0,2,0,0,0.5758857747223691,0.7985611510791367,Peak
,24.09,0.0,64.1,11,Bakery,bread and pastry,2022-03-05 12:00:00,135,12,5,1,1.2246467991473532e-16,-1.0,0,0,1,0,0.4479111581173981,0.935251798561151,Peak
,31.32,0.0,43.1,6,Frozen,frozen foods,2022-03-05 13:00:00,109,13,5,1,-0.2588190451025208,-0.9659258262890683,0,2,0,0,0.830248545742993,0.7482014388489209,Peak
,25.12,0.0,51.1,7,Dairy,milk and yogurt aisle,2022-03-05 14:00:00,56,14,5,1,-0.4999999999999997,-0.8660254037844388,0,1,1,0,0.5023796932839767,0.3669064748201439,High
,26.15,0.0,45.7,12,General,mixed baskets,2022-03-05 15:00:00,63,15,5,1,-0.7071067811865471,-0.7071067811865479,0,3,0,0,0.5568482284505551,0.4172661870503597,High
,23.34,0.15,45.5,9,Bakery,bread and pastry,2022-03-05 16:00:00,72,16,5,1,-0.8660254037844385,-0.5000000000000004,0,0,1,1,0.4082496033844526,0.48201438848920863,High
,19.76,0.0,69.6,11,Produce,fresh fruit and veg,2022-03-05 17:00:00,101,17,5,1,-0.9659258262890683,-0.25881904510252063,0,4,1,0,0.21893178212585943,0.6906474820143885,Peak
,23.27,0.0,67.3,8,Produce,fresh fruit and veg,2022-03-05 18:00:00,80,18,5,1,-1.0,-1.8369701987210297e-16,0,4,1,0,0.40454785827604434,0.539568345323741,Peak
,25.38,0.0,58.3,8,Bakery,bread and pastry,2022-03-05 19:00:00,97,19,5,1,-0.9659258262890684,0.2588190451025203,0,0,1,0,0.5161290322580644,0.6618705035971223,Peak
,26.55,0.0,59.2,10,General,mixed baskets,2022-03-05 20:00:00,95,20,5,1,-0.8660254037844386,0.5000000000000001,0,3,0,0,0.5780010576414595,0.6474820143884892,Peak
,25.29,3.18,69.3,11,Frozen,frozen foods,2022-03-05 21:00:00,54,21,5,1,-0.7071067811865477,0.7071067811865474,0,2,0,1,0.5113696456901109,0.35251798561151076,Medium
,27.21,0.0,55.4,9,Bakery,bread and pastry,2022-03-05 22:00:00,52,22,5,1,-0.5000000000000004,0.8660254037844384,0,0,1,0,0.6129032258064516,0.3381294964028777,Medium
,27.7,0.0,30.9,5,General,mixed baskets,2022-03-05 23:00:00,80,23,5,1,-0.25881904510252157,0.9659258262890681,0,3,0,0,0.6388154415653092,0.539568345323741,Peak
,27.76,0.0,37.6,9,Dairy,milk and yogurt aisle,2022-03-06 00:00:00,55,0,6,1,0.0,1.0,0,1,1,0,0.641988365943945,0.3597122302158273,Medium
,25.3,0.0,59.4,8,Bakery,bread and pastry,2022-03-06 01:00:00,49,1,6,1,0.25881904510252074,0.9659258262890683,0,0,1,0,0.5118984664198837,0.31654676258992803,Medium
,25.5,0.0,35.1,11,Dairy,milk and yogurt aisle,2022-03-06 02:00:00,67,2,6,1,0.49999999999999994,0.8660254037844387,0,1,1,0,0.5224748810153358,0.4460431654676259,High
,24.75,0.0,65.9,5,General,mixed baskets,2022-03-06 03:00:00,61,3,6,1,0.7071067811865476,0.7071067811865476,0,3,0,0,0.4828133262823902,0.4028776978417266,High
,23.11,0.0,61.3,3,Frozen,frozen foods,2022-03-06 04:00:00,59,4,6,1,0.8660254037844386,0.5000000000000001,0,2,0,0,0.39608672659968264,0.38848920863309355,High
,28.86,2.57,65.1,4,Bakery,bread and pastry,2022-03-06 05:00:00,69,5,6,1,0.9659258262890683,0.25881904510252074,0,0,1,1,0.7001586462189316,0.460431654676259,High
,22.19,0.0,57.8,8,Dairy,milk and yogurt aisle,2022-03-06 06:00:00,65,6,6,1,1.0,6.123233995736766e-17,0,1,1,0,0.3474352194606029,0.4316546762589928,High
,25.12,0.0,60.4,9,General,mixed baskets,2022-03-06 07:00:00,64,7,6,1,0.9659258262890683,-0.25881904510252063,0,3,0,0,0.5023796932839767,0.4244604316546763,High
,25.86,0.0,50.3,8,General,mixed baskets,2022-03-06 08:00:00,71,8,6,1,0.8660254037844387,-0.4999999999999998,0,3,0,0,0.5415124272871495,0.4748201438848921,High
,19.95,0.0,69.2,8,General,mixed baskets,2022-03-06 09:00:00,63,9,6,1,0.7071067811865476,-0.7071067811865475,0,3,0,0,0.22897937599153884,0.4172661870503597,High
,27.15,0.0,52.9,11,Dairy,milk and yogurt aisle,2022-03-06 10:00:00,107,10,6,1,0.49999999999999994,-0.8660254037844387,0,1,1,0,0.6097303014278158,0.7338129496402878,Peak
,24.42,0.0,47.8,9,Produce,fresh fruit and veg,2022-03-06 11:00:00,110,11,6,1,0.258819045102521,-0.9659258262890682,0,4,1,0,0.46536224219989425,0.7553956834532374,Peak
,25.86,5.94,87.1,8,Produce,fresh fruit and veg,2022-03-06 12:00:00,108,12,6,1,1.2246467991473532e-16,-1.0,0,4,1,1,0.5415124272871495,0.7410071942446043,Peak
,24.47,0.0,56.0,9,Dairy,milk and yogurt aisle,2022-03-06 13:00:00,117,13,6,1,-0.2588190451025208,-0.9659258262890683,0,1,1,0,0.46800634584875717,0.8057553956834532,Peak
,21.46,0.0,57.5,6,General,mixed baskets,2022-03-06 14:00:00,47,14,6,1,-0.4999999999999997,-0.8660254037844388,0,3,0,0,0.30883130618720256,0.302158273381295,Medium
,25.79,1.29,68.1,5,General,mixed baskets,2022-03-06 15:00:00,38,15,6,1,-0.7071067811865471,-0.7071067811865479,0,3,0,1,0.5378106821787413,0.23741007194244604,Low
,25.56,0.0,72.0,6,General,mixed baskets,2022-03-06 16:00:00,61,16,6,1,-0.8660254037844385,-0.5000000000000004,0,3,0,0,0.5256478053939713,0.4028776978417266,High
,27.79,0.0,54.6,9,Produce,fresh fruit and veg,2022-03-06 17:00:00,78,17,6,1,-0.9659258262890683,-0.25881904510252063,0,4,1,0,0.6435748281332627,0.5251798561151079,High
,26.49,0.0,55.7,6,Dairy,milk and yogurt aisle,2022-03-06 18:00:00,71,18,6,1,-1.0,-1.8369701987210297e-16,0,1,1,0,0.5748281332628238,0.4748201438848921,High
,21.09,0.0,44.1,5,Produce,fresh fruit and veg,2022-03-06 19:00:00,99,19,6,1,-0.9659258262890684,0.2588190451025203,0,4,1,0,0.2892649391856161,0.6762589928057554,Peak
,28.05,0.0,55.1,5,General,mixed baskets,2022-03-06 20:00:00,86,20,6,1,-0.8660254037844386,0.5000000000000001,0,3,0,0,0.6573241671073505,0.5827338129496403,Peak
,27.29,0.0,68.0,7,General,mixed baskets,2022-03-06 21:00:00,65,21,6,1,-0.7071067811865477,0.7071067811865474,0,3,0,0,0.6171337916446323,0.4316546762589928,High
,27.22,0.0,48.9,11,Frozen,frozen foods,2022-03-06 22:00:00,53,22,6,1,-0.5000000000000004,0.8660254037844384,0,2,0,0,0.6134320465362241,0.34532374100719426,Medium
,26.52,0.0,47.8,3,General,mixed baskets,2022-03-06 23:00:00,46,23,6,1,-0.25881904510252157,0.9659258262890681,0,3,0,0,0.5764145954521416,0.2949640287769784,Medium
