transaction_id,customer_id,age,account_age_days,credit_limit,merchant_category,channel,device_type,payment_method,country,amount,hour,day_of_week,is_weekend,distance_from_home_km,distance_from_last_txn_km,num_txn_last_24h,num_txn_last_7d,avg_txn_amount_30d,ratio_to_avg_amount,time_since_last_txn_min,is_international,online_order,used_chip,used_pin,high_risk_merchant,is_fraud
TXN00018,1871,26,3329,10000,grocery,mobile,ios,swipe,US,31.64,7,5,1,0.68,1.53,6,15,30.85,1.026,89.4,1,0,0,0,0,0
TXN00019,1663,20,1704,15000,atm_withdrawal,online,ios,contactless,IN,166.03,18,1,0,4.58,14.45,2,11,173.27,0.958,309.9,0,1,0,0,1,0
TXN00020,1130,59,465,10000,fuel,mobile,ios,contactless,IN,90.62,17,4,0,6.49,0.07,1,9,95.6,0.948,39.6,0,0,0,1,0,0
TXN00021,1661,46,428,15000,online_retail,pos,pos_terminal,card_not_present,OTHER,109.86,12,5,1,4.16,7.65,4,12,81.75,1.344,8.9,1,0,0,0,0,0
TXN00022,1308,31,1264,15000,grocery,pos,ios,chip,IN,62.56,12,3,0,1.89,1.52,1,7,43.8,1.428,273.9,0,0,1,0,0,0
TXN00023,1769,63,1444,15000,online_retail,pos,pos_terminal,contactless,IN,109.69,23,3,0,7.19,22.74,1,8,44.5,2.465,140.5,0,0,0,0,0,0
TXN00024,1343,43,2576,10000,electronics,pos,android,chip,SG,140.43,18,1,0,11.28,38.17,5,18,123.01,1.142,126.1,1,0,1,0,1,0
TXN00025,1491,58,2617,5000,atm_withdrawal,online,ios,swipe,IN,151.46,22,1,0,8.28,38.26,0,6,148.75,1.018,57.2,0,1,0,1,1,0
TXN00026,1413,42,592,10000,atm_withdrawal,online,pos_terminal,card_not_present,AE,90.97,11,1,0,2.14,7.0,3,4,117.48,0.774,13.5,1,1,0,1,1,0
TXN00027,1805,70,3592,5000,electronics,pos,ios,contactless,SG,213.2,16,6,1,10.52,12.41,1,5,102.33,2.083,118.7,1,0,0,0,1,0
TXN00028,1385,66,2519,25000,luxury,mobile,desktop,card_not_present,IN,315.47,21,2,0,2.38,10.99,1,9,475.98,0.663,363.4,0,0,0,1,1,0
TXN00029,1191,38,1314,10000,luxury,atm,ios,chip,IN,725.36,11,1,0,1.54,5.17,1,5,519.9,1.395,23.0,0,0,1,0,1,0
TXN00030,1955,55,802,5000,restaurant,pos,android,swipe,IN,18.66,12,5,1,9.39,7.05,1,8,15.68,1.19,476.5,0,0,0,1,0,0
TXN00031,1276,51,2427,5000,atm_withdrawal,pos,ios,chip,GB,210.64,11,5,1,14.8,0.8,4,11,96.48,2.183,57.8,1,0,1,0,1,0
TXN00032,1160,61,2067,15000,fuel,pos,ios,swipe,US,60.51,18,6,1,5.26,19.06,2,4,71.63,0.845,136.7,1,0,0,1,0,0
TXN00033,1459,28,3453,15000,online_retail,pos,pos_terminal,card_not_present,IN,227.74,13,6,1,6.06,3.31,5,12,284.84,0.8,12.4,0,0,0,0,0,0
TXN00034,1313,51,2597,10000,grocery,pos,android,contactless,IN,40.21,6,0,0,2.88,7.41,2,10,60.9,0.66,99.6,0,0,0,0,0,0
TXN00035,1021,56,1373,5000,grocery,online,pos_terminal,card_not_present,US,1666.79,1,4,0,43.55638284789935,7.86,9,5,32.33,3.874,24.2,1,1,0,0,0,1
TXN00036,1252,18,2215,10000,luxury,pos,pos_terminal,chip,SG,873.34,5,1,0,1.13,9.87,0,7,619.06,1.411,8.8,1,0,1,0,1,0
TXN00037,1747,25,1603,10000,electronics,pos,android,card_not_present,IN,230.65,23,5,1,24.96,20.44,2,7,293.23,0.787,611.6,0,0,0,1,1,0
TXN00038,1856,18,1021,15000,restaurant,mobile,android,chip,IN,63.97,18,6,1,12.89,14.13,0,6,79.84,0.801,235.7,0,0,1,0,0,0
TXN00039,1560,38,2445,15000,restaurant,online,pos_terminal,card_not_present,IN,95.04,18,5,1,8.82,13.05,2,9,144.89,0.656,228.5,0,1,0,1,0,0
TXN00040,1474,52,3321,10000,atm_withdrawal,mobile,pos_terminal,chip,US,129.48,3,5,1,6.18,8.98,2,7,83.69,1.547,17.1,1,0,1,0,1,0
TXN00041,1058,63,3438,10000,luxury,pos,ios,chip,OTHER,1157.85,18,6,1,12.57,1.21,3,7,1443.09,0.802,477.0,1,0,1,1,1,0
TXN00042,1510,43,1276,50000,fuel,pos,android,contactless,IN,23.83,8,2,0,5.46,6.17,1,8,11.44,2.083,114.1,0,0,0,1,0,0
TXN00043,1681,64,389,10000,grocery,online,ios,card_not_present,SG,108.7,15,6,1,2.85,37.85,2,10,106.14,1.024,344.2,1,1,0,0,0,0
TXN00044,1475,22,950,15000,travel,pos,desktop,chip,IN,149.6,3,6,1,1.4,64.97,5,12,81.27,1.841,2.3,0,0,1,0,1,0
TXN00045,1699,18,2406,5000,grocery,pos,android,swipe,IN,94.67,5,4,0,8.34,15.73,1,12,112.07,0.845,63.7,0,0,0,0,0,0
TXN00046,1975,41,3039,10000,grocery,online,desktop,card_not_present,IN,16.12,7,6,1,21.21,3.1,5,10,18.08,0.892,996.0,0,1,0,1,0,0
TXN00047,1782,47,2540,5000,electronics,online,android,swipe,AE,743.06,23,3,0,1.33,1.29,2,5,340.77,2.181,100.5,1,1,0,1,1,0
TXN00048,1189,41,3023,15000,restaurant,online,android,chip,SG,60.09,15,6,1,1.59,6.43,3,11,47.08,1.276,394.9,1,1,1,0,0,0
TXN00049,1957,18,992,50000,online_retail,online,ios,swipe,SG,1058.61,1,5,1,74.29731447123822,23.3,8,8,41.59,2.329,71.5,1,1,0,0,0,1
TXN00050,1686,40,1857,10000,electronics,online,ios,swipe,IN,697.34,20,1,0,13.16,15.36,2,11,486.51,1.433,134.1,0,1,0,1,1,0
TXN00051,1957,23,3483,5000,online_retail,pos,android,card_not_present,IN,43.95,21,5,1,2.78,25.84,1,7,19.62,2.24,346.6,0,0,0,0,0,0
TXN00052,1562,51,2913,5000,fuel,pos,ios,card_not_present,IN,1466.97,23,4,0,70.1561626347444,11.48,5,3,41.44,4.207,167.6,0,0,0,1,0,1
TXN00053,1875,47,1643,10000,grocery,pos,android,contactless,US,188.53,22,3,0,7.74,1.68,2,7,254.73,0.74,232.5,1,0,0,0,0,0
TXN00054,1566,28,1670,5000,restaurant,pos,android,card_not_present,IN,68.37,12,6,1,6.14,1.46,1,10,56.89,1.202,46.8,0,0,0,0,0,0
TXN00055,1243,34,2246,5000,online_retail,mobile,android,swipe,US,26.25,13,2,0,0.5,0.59,2,10,20.69,1.269,30.5,1,0,0,1,0,0
TXN00056,1831,27,246,25000,restaurant,online,pos_terminal,chip,IN,47.32,6,0,0,0.68,10.05,3,9,72.4,0.654,47.1,0,1,1,0,0,0
TXN00057,1504,41,407,10000,grocery,online,ios,chip,IN,36.88,19,6,1,8.24,3.34,2,6,16.59,2.223,122.3,0,1,1,1,0,0
TXN00058,1130,55,148,10000,atm_withdrawal,pos,ios,swipe,SG,166.39,5,1,0,5.01,15.91,3,12,219.76,0.757,290.6,1,0,0,0,1,0
TXN00059,1484,28,219,50000,online_retail,pos,ios,chip,IN,78.07,6,0,0,28.32,13.91,1,7,76.49,1.021,78.7,0,0,1,0,0,0
TXN00060,1818,49,2844,5000,online_retail,pos,pos_terminal,card_not_present,IN,108.01,4,2,0,9.08,4.59,3,9,165.62,0.652,149.8,0,0,0,1,0,0
TXN00061,1646,34,399,50000,online_retail,pos,android,card_not_present,IN,751.85,20,4,0,64.10730713650074,2.33,7,8,30.11,2.683,294.1,0,0,0,0,0,1
TXN00062,1020,30,1831,10000,atm_withdrawal,pos,desktop,chip,US,110.97,17,4,0,5.25,1.3,2,7,138.67,0.8,49.1,1,0,1,0,1,0
TXN00063,1840,40,2226,25000,online_retail,atm,desktop,contactless,US,94.97,22,2,0,4.28,16.04,1,5,45.96,2.066,386.2,1,0,0,1,0,0
TXN00064,1166,27,681,15000,online_retail,online,ios,card_not_present,IN,52.61,11,5,1,0.9,7.18,4,8,79.68,0.66,550.7,0,1,0,1,0,0
TXN00065,1273,34,1912,25000,luxury,online,android,card_not_present,SG,1096.3,5,2,0,20.53,4.69,2,8,891.79,1.229,7.2,1,1,0,1,1,0
TXN00066,1387,25,1541,50000,restaurant,online,desktop,card_not_present,IN,36.57,0,6,1,13.08,23.31,3,9,37.62,0.972,11.0,0,1,0,1,0,0
TXN00067,1600,69,799,10000,travel,mobile,android,contactless,IN,432.81,3,1,0,2.09,10.81,2,7,245.05,1.766,17.2,0,0,0,0,1,0
TXN00068,1315,42,2451,50000,restaurant,pos,ios,card_not_present,IN,51.91,18,3,0,2.37,8.76,2,13,79.66,0.652,269.9,0,0,0,0,0,0
TXN00069,1013,32,810,10000,electronics,pos,desktop,contactless,GB,143.08,11,6,1,0.26,16.32,3,5,172.78,0.828,37.8,1,0,0,0,1,0
TXN00070,1241,44,1746,10000,fuel,pos,android,contactless,IN,62.03,14,6,1,2.82,20.29,2,6,28.83,2.152,232.8,0,0,0,1,0,0
TXN00071,1776,40,2237,10000,online_retail,atm,pos_terminal,chip,IN,38.88,2,6,1,7.03,13.9,3,10,22.79,1.706,104.8,0,0,1,1,0,0
TXN00072,1345,38,2428,15000,luxury,mobile,android,chip,IN,470.1,22,0,0,4.37,6.96,3,9,413.59,1.137,325.7,0,0,1,0,1,0
TXN00073,1564,50,1341,5000,luxury,pos,pos_terminal,contactless,IN,610.07,19,0,0,27.86,5.72,3,9,402.72,1.515,297.6,0,0,0,1,1,0
TXN00074,1897,52,3389,15000,electronics,mobile,ios,chip,SG,114.03,7,4,0,0.46,17.72,3,5,87.3,1.306,577.9,1,0,1,0,1,0
TXN00075,1339,34,2969,15000,online_retail,atm,android,chip,IN,112.73,10,6,1,7.16,8.76,3,12,180.03,0.626,52.0,0,0,1,0,0,0
TXN00076,1091,33,1279,25000,fuel,pos,android,card_not_present,IN,69.24,15,5,1,15.63,14.62,2,10,82.42,0.84,46.9,0,0,0,0,0,0
TXN00077,1366,38,552,25000,luxury,pos,pos_terminal,chip,SG,803.94,8,4,0,5.24,26.53,0,7,1211.27,0.664,5.8,1,0,1,0,1,0
TXN00078,1955,18,551,10000,luxury,online,android,contactless,IN,600.82,2,1,0,0.02,29.71,1,14,554.53,1.083,95.1,0,1,0,0,1,0
TXN00079,1454,20,812,10000,online_retail,mobile,android,contactless,US,42.48,4,2,0,2.23,3.9,3,12,53.2,0.798,110.6,1,0,0,0,0,0
TXN00080,1427,61,2350,10000,restaurant,pos,android,card_not_present,SG,55.0,19,0,0,3.13,2.5,3,10,52.34,1.051,601.0,1,0,0,1,0,0
TXN00081,1508,65,965,5000,restaurant,atm,ios,swipe,IN,77.48,13,6,1,27.05,3.63,4,7,61.51,1.26,319.8,0,0,0,0,0,0
TXN00082,1775,38,3503,5000,online_retail,pos,ios,chip,US,41.57,14,1,0,19.42,16.7,4,8,42.53,0.977,32.8,1,0,1,1,0,0
TXN00083,1942,50,2260,10000,grocery,online,android,contactless,IN,24.43,5,4,0,23.83,5.55,1,8,22.3,1.096,288.3,0,1,0,0,0,0
TXN00084,1034,46,1718,10000,travel,online,android,card_not_present,SG,349.37,3,4,0,13.98,2.29,3,11,550.83,0.634,35.3,1,1,0,1,1,0
TXN00085,1205,80,517,50000,online_retail,online,android,card_not_present,IN,1668.63,7,0,0,109.52880049469202,1.24,4,10,64.92,3.223,14.6,0,1,0,1,0,1
TXN00086,1080,57,1880,15000,online_retail,atm,android,swipe,IN,79.29,18,4,0,18.91,4.76,3,11,108.89,0.728,326.6,0,0,0,1,0,0
TXN00087,1931,40,875,10000,electronics,atm,ios,chip,SG,212.94,4,5,1,32.0,1.76,2,8,255.57,0.833,671.0,1,0,1,0,1,0
TXN00088,1561,28,2201,15000,luxury,mobile,desktop,card_not_present,AE,655.19,12,4,0,3.45,2.04,4,7,639.17,1.025,16.6,1,0,0,0,1,0
TXN00089,1871,19,3062,5000,grocery,pos,android,chip,OTHER,88.12,15,3,0,2.41,13.82,1,9,85.39,1.032,302.7,1,0,1,0,0,0
TXN00090,1387,44,2867,10000,online_retail,online,ios,contactless,SG,107.57,0,2,0,6.33,0.24,0,9,87.16,1.234,352.9,1,1,0,0,0,0
TXN00091,1001,31,2491,15000,restaurant,pos,ios,swipe,IN,56.73,12,4,0,1.66,1.5,2,8,29.97,1.893,22.8,0,0,0,0,0,0
TXN00092,1389,22,2033,10000,restaurant,online,pos_terminal,chip,IN,29.92,21,3,0,0.27,22.32,3,9,39.31,0.761,59.9,0,1,1,0,0,0
TXN00093,1565,32,1778,10000,online_retail,online,pos_terminal,chip,IN,1687.92,22,1,0,38.017215421581355,22.37,5,8,80.76,2.841,238.1,0,1,1,0,0,1
TXN00094,1105,26,3273,50000,fuel,online,pos_terminal,chip,SG,95.33,20,4,0,20.8,4.79,2,8,63.07,1.511,296.8,1,1,1,1,0,0
TXN00095,1771,65,3389,25000,grocery,online,android,contactless,IN,34.78,7,5,1,1.42,1.1,5,9,52.55,0.662,78.6,0,1,0,0,0,0
TXN00096,1821,54,3536,15000,online_retail,mobile,android,card_not_present,GB,46.98,7,1,0,4.19,14.65,2,9,31.89,1.473,31.4,1,0,0,1,0,0
TXN00097,1476,41,715,15000,online_retail,pos,android,chip,IN,253.65,23,6,1,14.22,5.36,2,11,262.81,0.965,188.1,0,0,1,0,0,1
TXN00098,1702,62,2190,15000,grocery,online,android,card_not_present,IN,1137.32,13,4,0,82.144762585058,0.56,5,12,84.55,3.002,217.9,0,1,0,0,0,1
TXN00099,1401,43,2965,10000,restaurant,pos,ios,chip,IN,977.41,1,0,0,45.23559217195499,2.06,9,4,27.6,2.752,126.1,0,0,1,0,0,1
TXN00100,1729,29,2199,10000,travel,pos,desktop,contactless,AE,220.52,2,3,0,10.91,1.77,3,9,102.19,2.158,28.2,1,0,0,1,1,0
TXN00101,1555,63,1597,5000,online_retail,pos,pos_terminal,chip,US,119.09,3,3,0,18.19,10.67,2,6,99.85,1.193,335.0,1,0,1,1,0,0
TXN00102,1161,49,1275,10000,atm_withdrawal,mobile,pos_terminal,card_not_present,SG,1193.0,22,0,0,91.39387259398481,27.41,5,6,52.33,3.144,186.5,1,0,0,1,1,1
TXN00103,1201,27,68,15000,grocery,mobile,ios,card_not_present,IN,73.36,14,2,0,3.81,18.9,2,10,38.52,1.904,366.1,0,0,0,0,0,0
TXN00104,1957,39,2574,10000,grocery,mobile,desktop,contactless,AE,34.39,14,6,1,1.53,9.49,3,10,19.63,1.752,486.5,1,0,0,0,0,0
TXN00105,1995,29,809,50000,restaurant,mobile,android,card_not_present,IN,135.95,20,5,1,19.52,6.58,2,5,54.69,2.486,294.9,0,0,0,0,0,0
TXN00106,1269,22,1286,50000,online_retail,pos,android,contactless,AE,60.14,12,3,0,0.78,11.57,2,10,35.12,1.712,573.5,1,0,0,0,0,0
TXN00107,1862,54,3020,15000,restaurant,pos,desktop,card_not_present,SG,1538.49,1,1,0,119.31055328351884,7.04,5,14,220.66,4.751,555.3,1,0,0,1,0,1
TXN00108,1815,68,3631,15000,atm_withdrawal,online,android,card_not_present,IN,166.99,9,5,1,1.21,3.39,3,11,231.02,0.723,173.9,0,1,0,1,1,0
TXN00109,1270,22,2226,25000,restaurant,online,ios,card_not_present,SG,117.77,11,3,0,3.95,13.64,1,6,74.44,1.582,234.5,1,1,0,0,0,0
TXN00110,1455,49,3498,5000,luxury,online,android,contactless,US,445.8,13,6,1,4.24,24.79,3,7,221.58,2.012,216.4,1,1,0,1,1,1
TXN00111,1461,32,3099,25000,online_retail,pos,desktop,chip,IN,38.89,0,2,0,1.38,5.6,1,3,49.6,0.784,174.7,0,0,1,0,0,0
TXN00112,1726,35,2738,5000,online_retail,online,desktop,contactless,AE,22.5,13,6,1,20.48,22.11,1,12,9.22,2.44,3.5,1,1,0,0,0,0
TXN00113,1251,33,1957,25000,travel,online,android,chip,IN,807.22,13,1,0,0.02,6.77,1,5,1034.04,0.781,79.2,0,1,1,0,1,0
TXN00114,1701,29,331,10000,grocery,pos,pos_terminal,contactless,IN,46.72,7,6,1,17.94,6.16,2,8,26.04,1.794,19.0,0,0,0,0,0,0
TXN00115,1295,42,3461,25000,online_retail,online,android,swipe,IN,40.28,15,5,1,17.22,0.34,2,15,27.15,1.484,64.3,0,1,0,1,0,0
TXN00116,1724,30,2315,50000,fuel,online,ios,contactless,IN,1164.57,13,1,0,96.08755257192095,14.26,9,8,67.41,4.089,12.8,0,1,0,0,0,1
TXN00117,1719,45,676,5000,luxury,online,desktop,chip,SG,1133.12,0,0,0,9.75,19.77,2,8,789.56,1.435,454.7,1,1,1,1,1,0
TXN00118,1748,41,692,10000,online_retail,pos,desktop,chip,IN,171.12,15,4,0,2.33,13.07,3,7,232.35,0.736,108.0,0,0,1,0,0,0
TXN00119,1337,38,2313,50000,online_retail,online,pos_terminal,swipe,US,1757.08,3,0,0,46.73253246093627,1.97,5,7,21.41,2.583,37.8,1,1,0,0,0,1
TXN00120,1878,29,1789,10000,electronics,pos,android,card_not_present,IN,496.2,6,5,1,6.59,1.31,2,8,790.45,0.628,158.2,0,0,0,0,1,0
TXN00121,1052,33,2280,25000,grocery,pos,desktop,swipe,OTHER,55.58,14,4,0,2.86,10.21,2,7,44.05,1.262,39.4,1,0,0,1,0,0
TXN00122,1791,52,285,15000,grocery,atm,ios,swipe,SG,98.68,23,0,0,4.09,6.16,5,7,148.65,0.664,293.7,1,0,0,0,0,0
TXN00123,1921,49,627,10000,travel,online,pos_terminal,card_not_present,AE,539.14,16,4,0,9.37,6.73,2,10,338.6,1.592,65.7,1,1,0,1,1,1
TXN00124,1216,28,691,10000,grocery,pos,android,contactless,IN,49.49,18,3,0,18.92,41.23,1,6,30.95,1.599,68.1,0,0,0,0,0,0
TXN00125,1763,43,264,10000,online_retail,online,desktop,chip,IN,159.98,22,6,1,1.12,15.44,1,8,172.52,0.927,367.2,0,1,1,0,0,0
TXN00126,1187,52,1398,25000,atm_withdrawal,online,ios,swipe,IN,239.65,12,1,0,6.78,6.37,2,8,110.41,2.171,147.5,0,1,0,0,1,0
TXN00127,1379,18,2611,10000,atm_withdrawal,atm,android,chip,SG,271.95,8,4,0,2.34,0.23,5,14,370.18,0.735,392.9,1,0,1,0,1,0
TXN00128,1492,49,2937,15000,online_retail,online,ios,card_not_present,AE,61.17,23,3,0,12.93,0.42,4,12,56.74,1.078,95.9,1,1,0,1,0,1
TXN00129,1040,32,3567,10000,fuel,online,android,chip,IN,926.89,23,6,1,63.25950765795168,13.85,5,6,67.61,3.932,75.9,0,1,1,0,0,1
TXN00130,1156,49,799,15000,atm_withdrawal,online,ios,swipe,IN,57.8,14,6,1,9.34,21.82,3,10,35.23,1.641,127.0,0,1,0,0,1,1
TXN00131,1014,31,2618,25000,atm_withdrawal,pos,pos_terminal,chip,AE,110.23,2,2,0,1.54,14.76,1,6,129.06,0.854,11.4,1,0,1,0,1,1
TXN00132,1812,18,242,50000,fuel,pos,ios,chip,IN,92.67,23,0,0,7.26,6.25,5,9,103.13,0.899,30.1,0,0,1,0,0,0
TXN00133,1064,19,492,10000,restaurant,online,ios,card_not_present,US,75.01,0,2,0,14.45,0.38,0,1,98.02,0.765,44.6,1,1,0,1,0,0
TXN00134,1856,42,2513,25000,fuel,online,ios,chip,SG,35.01,15,5,1,11.25,41.08,4,6,26.5,1.321,305.4,1,1,1,1,0,0
TXN00135,1838,45,312,25000,restaurant,online,android,chip,AE,111.34,7,3,0,11.19,51.52,4,11,169.21,0.658,238.2,1,1,1,1,0,0
TXN00136,1520,29,1516,15000,luxury,pos,android,swipe,IN,3078.26,22,2,0,5.84,9.57,2,8,4782.27,0.644,38.7,0,0,0,0,1,0
TXN00137,1343,50,1460,50000,grocery,pos,ios,chip,IN,27.39,12,2,0,17.71,0.88,1,6,39.49,0.694,58.3,0,0,1,0,0,0
TXN00138,1128,18,117,10000,atm_withdrawal,online,android,chip,SG,133.94,7,6,1,7.1,9.34,1,7,145.52,0.92,519.7,1,1,1,1,1,1
TXN00139,1647,41,1097,5000,online_retail,pos,android,card_not_present,GB,56.83,16,3,0,19.96,26.75,1,6,51.39,1.106,16.1,1,0,0,0,0,0
TXN00140,1471,25,490,25000,luxury,online,ios,card_not_present,IN,569.49,21,6,1,6.33,13.67,1,3,267.43,2.129,142.7,0,1,0,1,1,0
TXN00141,1062,32,2355,10000,travel,pos,android,card_not_present,IN,465.04,22,1,0,5.64,15.28,1,3,714.61,0.651,132.9,0,0,0,1,1,0
TXN00142,1138,42,2498,25000,atm_withdrawal,online,android,card_not_present,SG,102.22,13,4,0,2.01,1.07,3,8,157.64,0.648,232.8,1,1,0,1,1,0
TXN00143,1498,29,1754,25000,grocery,mobile,ios,contactless,GB,38.64,20,5,1,6.3,1.35,3,9,16.32,2.368,54.5,1,0,0,0,0,0
TXN00144,1592,36,1406,5000,electronics,pos,android,chip,AE,262.29,20,5,1,1.21,1.63,2,7,217.25,1.207,491.4,1,0,1,1,1,0
TXN00145,1391,56,2773,25000,grocery,online,pos_terminal,card_not_present,OTHER,58.33,6,0,0,16.3,28.17,4,9,84.93,0.687,95.2,1,1,0,1,0,0
TXN00146,1674,33,544,10000,luxury,pos,pos_terminal,card_not_present,IN,1344.13,14,6,1,9.01,8.95,4,8,668.06,2.012,60.6,0,0,0,1,1,0
TXN00147,1418,53,732,15000,restaurant,online,desktop,card_not_present,IN,54.56,15,4,0,40.46,18.82,1,5,34.69,1.573,73.9,0,1,0,0,0,0
TXN00148,1288,26,1683,15000,atm_withdrawal,online,android,contactless,SG,110.13,18,0,0,0.77,1.47,1,5,173.39,0.635,77.2,1,1,0,0,1,0
TXN00149,1378,49,2096,50000,luxury,online,desktop,chip,AE,879.99,5,5,1,2.2,31.51,4,9,1246.72,0.706,39.9,1,1,1,0,1,0
TXN00150,1772,62,52,5000,grocery,online,pos_terminal,card_not_present,IN,56.08,22,4,0,16.77,20.65,1,3,83.81,0.669,473.7,0,1,0,0,0,0
TXN00151,1489,18,2490,10000,electronics,mobile,desktop,card_not_present,IN,224.84,0,2,0,4.02,3.06,4,11,128.29,1.753,34.6,0,0,0,0,1,0
TXN00152,1230,30,1083,15000,grocery,pos,android,card_not_present,US,58.76,11,1,0,5.02,24.88,1,11,38.4,1.53,385.9,1,0,0,1,0,0
TXN00153,1040,50,1860,15000,fuel,pos,ios,chip,IN,48.6,17,2,0,15.77,3.67,2,4,54.75,0.888,93.4,0,0,1,0,0,0
TXN00154,1027,39,2185,15000,fuel,mobile,pos_terminal,chip,IN,44.82,15,1,0,5.9,2.76,1,6,44.91,0.998,56.5,0,0,1,0,0,0
TXN00155,1134,47,3468,5000,travel,online,ios,chip,SG,140.73,11,6,1,1.72,3.68,2,4,106.7,1.319,39.8,1,1,1,0,1,0
TXN00156,1200,33,1334,10000,fuel,mobile,ios,card_not_present,SG,50.1,19,3,0,17.81,28.89,3,7,73.18,0.685,126.3,1,0,0,0,0,0
TXN00157,1839,43,3229,10000,grocery,online,ios,chip,US,17.07,12,0,0,0.25,29.67,4,12,25.29,0.675,199.2,1,1,1,1,0,0
TXN00158,1779,39,3330,25000,grocery,atm,ios,chip,IN,31.66,7,0,0,18.06,4.79,3,8,23.75,1.333,411.3,0,0,1,1,0,0
TXN00159,1929,58,1164,10000,grocery,online,android,card_not_present,SG,61.89,21,3,0,0.41,14.67,4,6,36.32,1.704,190.2,1,1,0,0,0,0
TXN00160,1032,45,2213,10000,luxury,online,ios,chip,SG,262.19,0,4,0,8.77,13.51,0,5,151.78,1.727,119.0,1,1,1,0,1,0
TXN00161,1047,46,391,50000,restaurant,mobile,android,card_not_present,SG,49.55,20,3,0,0.6,19.71,4,11,48.62,1.019,6.1,1,0,0,0,0,0
TXN00162,1502,36,3287,5000,luxury,online,ios,swipe,SG,622.0,6,6,1,9.8,4.22,3,7,348.01,1.787,444.6,1,1,0,0,1,0
TXN00163,1406,35,2206,50000,travel,pos,android,card_not_present,IN,350.81,14,5,1,0.28,8.56,5,10,339.59,1.033,418.8,0,0,0,0,1,0
TXN00164,1573,35,1929,15000,fuel,pos,ios,contactless,IN,46.04,21,3,0,14.78,13.22,2,6,43.94,1.048,85.7,0,0,0,0,0,0
TXN00165,1727,47,1314,25000,restaurant,pos,android,card_not_present,IN,65.78,12,1,0,5.02,0.32,3,9,96.1,0.684,5.3,0,0,0,1,0,0
TXN00166,1804,36,544,10000,electronics,pos,desktop,card_not_present,IN,322.7,12,5,1,0.78,5.67,5,11,243.78,1.324,237.9,0,0,0,0,1,0
TXN00167,1098,46,478,5000,fuel,pos,desktop,chip,SG,60.05,8,3,0,9.82,14.28,3,10,64.42,0.932,282.4,1,0,1,0,0,0
